entity_id,device,predictions
9,Tablet,-0.03879703291858881
15,Computer,-0.014103941518927538
27,Computer,-0.00686604903065647
34,Computer,0.003889508706463753
48,Computer,0.05498023951164868
54,Computer,0.02956616085481297
54,Smartphone,-0.00404662573437465
55,Smartphone,-0.005607749401316277
70,Smartphone,0.006273421588586356
71,Computer,0.027120530776110166
73,Computer,0.03682919401634987
73,Tablet,0.016343277427238515
95,Computer,0.037864947731677465
97,Smartphone,-0.005139256586106917
100,Tablet,0.008564188622415165
111,Smartphone,0.019990388695370852
116,Computer,0.05544321958412075
125,Computer,0.060188406058509156
127,Computer,0.06891190536649949
140,Computer,0.010143594437962481
142,Computer,0.0009604349473051966
145,Tablet,-0.016297850248184847
155,Computer,0.01326364479566557
157,Computer,0.006844879302595628
160,Computer,-0.00016799399330922043
163,Computer,-0.004733570862169879
164,Computer,-0.0029694028212536487
170,Computer,0.008855825533992279
176,Computer,0.005798811372568169
177,Computer,0.004764685821921734
179,Computer,0.015308236402888444
181,Computer,0.022811702336148484
181,Computer,0.02177757678550205
182,Computer,0.01978487871029403
184,Computer,0.013637698235381156
186,Computer,0.014047167317772814
188,Computer,0.01139813322781318
189,Computer,0.016723211026611194
202,Computer,0.015293009525734601
209,Computer,0.018327712348120483
215,Computer,0.00739748623198798
219,Computer,0.005558666817086875
219,Tablet,-0.01492724977202448
224,Computer,0.017476744186481864
224,Computer,0.01644261863583543
225,Computer,0.017162754719961145
231,Computer,0.01991770185940808
232,Computer,0.020259056941260647
233,Computer,0.015808746917327907
244,Computer,0.017641313155833754
249,Tablet,0.00044649631761655654
252,Computer,0.004522727035033252
259,Computer,0.011798824145817795
259,Tablet,-0.007652966892647123
260,Computer,0.0182735829084973
260,Computer,0.017239457357850867
262,Computer,0.02411352578926869
271,Computer,0.029883395379747945
281,Computer,0.040086706455525034
281,Computer,0.039052580904878606
284,Computer,0.02899360812876256
286,Computer,0.02791119330536613
299,Computer,-0.049212881007167884
299,Computer,-0.05024700655781431
302,Computer,-0.04789303226487199
307,Computer,-0.05251714208499338
313,Computer,-0.04933257402719669
317,Computer,-0.04423596997648543
323,Computer,-0.04621307087144792
326,Computer,-0.03931016416690651
338,Computer,-0.056083978897021707
371,Computer,-0.038803354420145666
374,Computer,-0.021694430278371035
376,Computer,-0.026009372925690076
381,Computer,-0.023670685545137453
383,Computer,-0.023516164336042596
392,Computer,-0.028284723830609745
398,Computer,-0.024003652771855257
404,Computer,0.0032565671608686406
427,Tablet,-0.04948820726440456
431,Computer,-0.04064294224756485
432,Computer,-0.04315528783375591
437,Computer,-0.02613332117298409
437,Computer,-0.027167446723630514
439,Computer,-0.024898348076787896
440,Computer,-0.022485417654463276
449,Computer,-0.015390320061337757
454,Tablet,-0.007835142224148106
457,Computer,0.004285402003221754
458,Computer,0.004965601379446158
462,Tablet,-0.01842813340023785
466,Computer,0.0006065376275380388
468,Tablet,-0.01923575176727308
471,Computer,-0.003956781262863565
473,Computer,0.0015191142325137802
479,Computer,-0.004031569085262011
480,Computer,0.012340946080507707
492,Computer,0.003999349969910229
497,Computer,0.012714999520223293
506,Computer,0.009441308962008885
508,Computer,0.013851922651523612
511,Computer,0.006957662528018047
513,Computer,0.013624488901946154
519,Computer,0.014796190048811952
522,Computer,0.011498569358348067
530,Tablet,-0.015508221731603336
531,Tablet,-0.022269658761092527
537,Computer,0.00805053506595202
551,Computer,0.026237376448332846
555,Computer,0.019575665147444483
560,Computer,0.009273198484622793
564,Computer,0.009432856897961417
565,Tablet,-0.00801415675149297
570,Computer,0.013023257975982479
577,Tablet,0.0008272439789997125
593,Computer,-0.04030267741327959
595,Computer,-0.03918284225213797
596,Computer,-0.0415826876450879
600,Computer,-0.04737077409419337
604,Tablet,-0.0564084980186995
606,Computer,-0.04565268859575806
607,Computer,-0.05510418314892844
609,Computer,-0.05264234224344047
611,Computer,-0.05007238213844928
613,Computer,-0.014469395676236382
617,Computer,-0.05021496096816311
619,Computer,-0.049580741633697786
620,Computer,-0.031736568843802035
623,Computer,-0.05006954048439778
628,Computer,-0.04147416641589925
653,Computer,-0.05827359680091987
660,Computer,-0.03651103492219597
664,Computer,-0.03933860303708615
669,Tablet,-0.06107265565067688
677,Computer,-0.04144847066509672
680,Computer,-0.040414345114450294
683,Computer,-0.0461482083322773
695,Computer,-0.030885686513347776
695,Tablet,-0.0503374775518127
700,Computer,-0.02989556121797702
703,Tablet,-0.053924996478470766
705,Tablet,-0.05293983973310826
706,Computer,-0.030098078006322644
712,Tablet,-0.05880414795664894
716,Computer,-0.033015611575680115
717,Computer,-0.030885686513347776
735,Computer,-0.0384282123160857
748,Computer,-0.015645322638721138
752,Computer,-0.001774367192815307
759,Computer,0.004183921169550569
759,Tablet,-0.016301995419560785
762,Computer,0.002229811082129169
767,Smartphone,0.009163866976536355
768,Tablet,-0.04169660698092128
775,Computer,0.050793563294094915
779,Tablet,0.014578011186502003
785,Computer,0.04436893791674418
789,Computer,0.0328068328276356
798,Computer,0.03331898310604605
806,Computer,0.04612183392857702
813,Computer,0.04631483709323364
816,Computer,0.04852793488113616
821,Computer,0.04066014770397474
821,Smartphone,0.006013235564140687
822,Computer,0.030283010541899642
823,Computer,0.036434528251773714
826,Smartphone,0.0017876161119396612
832,Computer,0.0556800914605033
833,Computer,0.05102311383823306
834,Smartphone,0.011190380086234537
836,Computer,0.05244201114485159
837,Computer,0.053430612817385356
837,Tablet,0.033978821778920434
841,Tablet,0.027987447249602098
843,Computer,0.04895474387919382
853,Computer,0.016349606642405114
854,Computer,0.01306093906752601
857,Computer,0.023586365682243073
867,Computer,0.035392785664376133
868,Computer,0.040372630443327784
869,Computer,0.0371030470438726
872,Computer,0.037647826430509256
874,Tablet,0.01578152636848535
880,Tablet,0.011173522321239138
886,Computer,0.033630813771255985
888,Computer,0.03468350875216926
894,Computer,0.047489302216269416
897,Computer,0.03031917297032609
903,Smartphone,0.00842049551549956
912,Smartphone,-0.005139256586106917
921,Smartphone,0.02290153602253083
926,Computer,0.032920161222925494
926,Tablet,0.012434244633814134
927,Tablet,0.007255242506213269
928,Computer,0.03672417152841745
928,Tablet,0.017272380489952527
928,Tablet,0.016238254939306095
929,Computer,0.039573456999894986
932,Tablet,0.009337970824982063
933,Tablet,0.02731682857896544
933,Tablet,0.026282703028319008
938,Computer,0.042027878293086435
938,Smartphone,0.00738096615325238
939,Computer,0.042027878293086435
939,Tablet,0.022576087254621513
941,Computer,0.04306200384373286
941,Smartphone,0.00738096615325238
944,Computer,0.042027878293086435
944,Smartphone,0.00841509170389881
